Дата,Поступление,Списание,Назначение платежа,Контрагент,Вид операции,Вх.номер,Вх.дата,Организация,Банковский счет,Комментарий
14.05.2021,1330.0,,,Фізична особа-підприємець Огорчак Ярема Миронович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.05.2021,1210.01,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.05.2021,3299.98,,,Фізична особа-підприємець Марченко Віталій Валентинович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.05.2021,2308.42,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.05.2021,2400.05,,,"Товариство з обмеженою відповідальністю ""СОЛЬ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.05.2021,12440.05,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.05.2021,2400.05,,,СПД ХАЛАПСУС КРІСТІНА ЗІГМУНДІВНА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.05.2021,1200.01,,,Фізична особа-підприємець Бедрій Ольга Остапівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.05.2021,2020.02,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.05.2021,750.0,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.05.2021,4560.05,,,СПД ХАЛАПСУС КРІСТІНА ЗІГМУНДІВНА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,6804.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,5940.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,2025.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,5940.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,17100.0,,,"Товариство з обмеженою відповідальністю ""Укрпродуктмісія-2014""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,1350.0,,,ПАРК 2,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,3820.03,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,2200.08,,,"Товариство з обмеженою відповідальністю ""Піплз лайф""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,150.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.05.2021,25107.16,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.05.2021,2190.02,,,Фізична особа-підприємець Безкоровайний Андрій Олександрович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.05.2021,5500.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.05.2021,5730.01,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.05.2021,799.99,,,"Товариство з обмеженою відповідальністю ""Модірес ЛТД""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.05.2021,2190.06,,,"Товариство з обмеженою відповідальністю ""Спаржа""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.05.2021,3390.0,,,Фізична особа-підприємець Галат Олександр Миколайович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.05.2021,4920.02,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,6228.41,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,2000.0,,,Фізична особа підприємець  Толокова Анастасія Володимирівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,4200.0,,,Винний арсенал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,1900.03,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,18000.0,,,Винотека Прага Львів,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,3233.06,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.05.2021,2700.22,,,Фізична особа підприємець  Толокова Анастасія Володимирівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.05.2021,3500.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.05.2021,1200.02,,,"ТОВ ""Гольда""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.05.2021,1000.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.05.2021,800.02,,,"Товариство з обмеженою відповідальністю ""ПРОШУТЕРІЯ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.05.2021,1150.01,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.05.2021,20264.17,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.05.2021,7830.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
27.05.2021,150.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
27.05.2021,1069.98,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.05.2021,2500.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.05.2021,27299.94,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.05.2021,3510.36,,,Фізична особа-підприємець Калєтіна Діана Андріївна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.05.2021,4632.02,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
31.05.2021,1000.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.06.2021,4879.99,,,"Товариство з обмеженою відповідальністю ""Вайн Трейд""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.06.2021,2399.98,,,"Дочірнє підприємство ""Міміно""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.06.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""КОНТИНІУМ-ТРЕЙД""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.06.2021,20000.0,,,"Товариство з обмеженою відповідальністю ""Артвайн Компані""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.06.2021,1509.9,,,Фізична особа-підприємець Бедрій Соломія Маркіянівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.06.2021,1600.02,,,Фізична особа-підприємець Бедрій Соломія Маркіянівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.06.2021,470.02,,,ТОВ Мімоза груп,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.06.2021,12870.23,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.06.2021,2400.05,,,"ТОВ ""Гольда""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.06.2021,1160.03,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.06.2021,1109.99,,,"ТОВ ""ИГЛЕСИА БЛАНКА""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.06.2021,3650.0,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
03.06.2021,2410.04,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
04.06.2021,1149.99,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
04.06.2021,2400.01,,,БАРИКАДА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
04.06.2021,1260.02,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.06.2021,200.0,,,"Товариство з обмеженою відповідальністю ""ВІН ВІН""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.06.2021,690.01,,,"Товариство з обмеженою відповідальністю ""ВІН ВІН""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.06.2021,3000.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.06.2021,2160.0,,,Фізична особа-підприємець Галян Володимир Михайлович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.06.2021,679.9,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.06.2021,1000.0,,,ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ БУЗНИК КАТЕРИНА ЮРІЇВНА Культ-Крафт,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.06.2021,1428.48,,,Товариство з обмеженою відповідальністю «КРЕАТИВНИЙ ШТАТ СЕНАТОР»,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.06.2021,10800.0,,,Винотека Прага Львів,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.06.2021,6900.02,,,"Товариство з обмеженою відповідальністю ""ОХОТА НА ОВЕЦЬ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.06.2021,15630.23,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.06.2021,4000.0,,,ФУД КРАФТ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.06.2021,8700.0,,,ТОВ Фудсервис 2017,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.06.2021,3181.99,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.06.2021,900.0,,,"Товариство з обмеженою відповідальністю ""Космік Фуд""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.06.2021,19422.23,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
10.06.2021,510.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
10.06.2021,5100.12,,,"Дочірнє підприємство ""Міміно""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
10.06.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""Топ Алко""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
11.06.2021,2896.86,,,Фізична особа-підприємець Бедрій Соломія Маркіянівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
11.06.2021,6429.8,,,"Товариство з обмеженою відповідальністю ""Крамниця Бачевских""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.06.2021,4489.98,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.06.2021,2099.88,,,Товариство з обмеженою відповідальністю ЛЬВІВРЕСТ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.06.2021,1000.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.06.2021,2700.0,,,"Товариство з обмеженою відповідальністю ""ПРОШУТЕРІЯ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.06.2021,1500.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.06.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""КОНТИНІУМ-ТРЕЙД""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.06.2021,2150.04,,,Товариство з обмеженою відповідальність ЛАВЛІ АНКЛ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.06.2021,1670.01,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.06.2021,360.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.06.2021,1649.99,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.06.2021,18402.63,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.06.2021,4585.0,,,"Товариство з обмеженою відповідальністю ""ВИНО І ЗДОРОВ'Я""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.06.2021,1970.03,,,Фізична особа-підприємець Бедрій Соломія Маркіянівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
17.06.2021,6400.12,,,"Товариство з обмеженою відповідальністю ""Первінко""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.06.2021,2430.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.06.2021,10000.0,,,Товариство з обмеженою відповідальністю «СМАК ВОДИ» ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
18.06.2021,3010.0,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.06.2021,2100.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.06.2021,6000.05,,,Винотека Прага Львів,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.06.2021,3000.13,,,БАРИКАДА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.06.2021,5469.98,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.06.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""КОНТИНІУМ-ТРЕЙД""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.06.2021,17205.39,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.06.2021,6070.44,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.06.2021,380.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.06.2021,3450.06,,,ПАРК 2,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.06.2021,660.01,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.06.2021,2900.04,,,"Товариство з обмеженою відповідальністю ""ОХОТА НА ОВЕЦЬ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.06.2021,23643.45,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.06.2021,4710.06,,,Фізична особа-підприємець Бедрій Соломія Маркіянівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.06.2021,10000.0,,,"Товариство з обмеженою відповідальністю ""Топ Алко""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.06.2021,2870.04,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.06.2021,2719.99,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.06.2021,4050.18,,,"Товариство з обмеженою відповідальністю ""Первінко""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.06.2021,49784.04,,,"Товариство з обмеженою відповідальністю ""Бурсательє""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.06.2021,750.0,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.06.2021,1980.0,,,СПД ХАЛАПСУС КРІСТІНА ЗІГМУНДІВНА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
28.06.2021,200000.0,,,Подымака,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.06.2021,1200.0,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.06.2021,4710.06,,,Фізична особа-підприємець Бедрій Соломія Маркіянівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.06.2021,1350.0,,,БАРИКАДА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.06.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""Артвайн Компані""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.06.2021,3580.04,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.06.2021,300.0,,,Фізична особа-підприємець Бедрій Ольга Остапівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.06.2021,14113.69,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.06.2021,2300.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.06.2021,180.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2021,1940.0,,,Фізична особа-підприємець Галат Олександр Миколайович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2021,1449.99,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.07.2021,2200.08,,,"Товариство з обмеженою відповідальністю ""Піплз лайф""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.07.2021,1200.02,,,"ТОВ ""Гольда""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
05.07.2021,2160.0,,,Фізична особа-підприємець Галян Володимир Михайлович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
05.07.2021,8370.0,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
05.07.2021,1000.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
05.07.2021,2760.36,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
05.07.2021,2690.04,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
06.07.2021,600.01,,,"Товариство з обмеженою відповідальністю ""БОГІВ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.07.2021,1080.0,,,"Товариство з обмеженою відповідальністю ""Спаржа""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.07.2021,14512.42,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
07.07.2021,400.01,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.07.2021,1260.0,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.07.2021,1000.01,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.07.2021,990.01,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
08.07.2021,2400.05,,,"ТОВ ""Гольда""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.07.2021,10000.0,,,Товариство з обмеженою відповідальністю «СМАК ВОДИ» ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.07.2021,6350.1,,,"Товариство з обмеженою відповідальністю ""ОХОТА НА ОВЕЦЬ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
09.07.2021,2630.02,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
12.07.2021,6842.02,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
12.07.2021,10000.0,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,1000.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,12240.14,,,Винотека Прага Львів,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,4440.24,,,Фізична особа підприємець  Толокова Анастасія Володимирівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,3750.12,,,"Дочірнє підприємство ""Міміно""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,324.0,,,ДЖАННІ-ХХІ ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""Артвайн Компані""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
13.07.2021,200.01,,,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВИНФОРТ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.07.2021,27000.0,,,"ДП Державного управління справами по обслуговуванню офіційних заходів «Гарант-Сервіс""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.07.2021,16388.74,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
14.07.2021,2510.02,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.07.2021,5000.0,,,"Товариство з обмеженою відповідальністю ""Артвайн Компані""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.07.2021,12000.0,,,"Товариство з обмеженою відповідальністю ""Топ Алко""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.07.2021,15197.76,,,Фізична особа-підприємець Руденя Катерина Олександрівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
15.07.2021,180.0,,,Винная галерея,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.07.2021,26865.0,,,"ДП Державного управління справами по обслуговуванню офіційних заходів «Гарант-Сервіс""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
16.07.2021,3700.0,,,БАРИКАДА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,2850.13,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,4399.97,,,"Товариство з обмеженою відповідальністю ""Лофт Юкрейн""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,26865.0,,,"ДП Державного управління справами по обслуговуванню офіційних заходів «Гарант-Сервіс""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,4384.0,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,1200.0,,,Фізична особа-підприємець Степова Марина Станіславовна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,819.96,,,ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ БУЗНИК КАТЕРИНА ЮРІЇВНА Культ-Крафт,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
19.07.2021,1080.0,,,Бернардацци,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2021,1000.0,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2021,1580.0,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
20.07.2021,1520.03,,,"Товариство з обмеженою відповідальністю ""Панна груп""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,19650.0,,,Товариство з обмеженою відповідальністю «ДАФНА МЕЙ ЮКРЕЙН»,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,2120.01,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,1900.04,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,7205.39,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,460.0,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,1289.99,,,Фізична особа-підприємець Бедрій Данило Маркіянович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,21777.12,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
21.07.2021,1289.99,,,Фізична особа-підприємець Зелінська Надія Володимирівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
22.07.2021,3564.0,,,"Товариство з обмеженою відповідальністю ""БЕСТПРОЖЕКТ""РапонгиНиколаев",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.07.2021,10000.0,,,Товариство з обмеженою відповідальністю «СМАК ВОДИ» ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.07.2021,720.0,,,Фізична особа-підприємець Юречко Олександр Йосипович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.07.2021,990.0,,,"ТОВ ""Рейкарц Хотел Менеджмент""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.07.2021,4977.0,,,"Товариство з обмеженою відповідальністю ""БЕСТПРОЖЕКТ""РапонгиНиколаев",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.07.2021,3564.0,,,"Товариство з обмеженою відповідальністю ""БЕСТПРОЖЕКТ""РапонгиНиколаев",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.07.2021,2594.01,,,"Товариство з обмеженою відповідальністю ""ТС ПЛЮС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
26.07.2021,28150.39,,,КАНАПЕ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
